season,constructorName,points,wins,position,donor_pool
2017,ALPINE,57.0,0,6,robust
2017,RB,53.0,0,7,robust
2017,HAAS,47.0,0,8,robust
2017,SAUBER,5.0,0,10,robust
2018,ALPINE,122.0,0,4,robust
2018,HAAS,93.0,0,6,robust
2018,SAUBER,48.0,0,8,robust
2018,RB,33.0,0,9,robust
2019,ALPINE,91.0,0,5,robust
2019,RB,85.0,0,6,robust
2019,SAUBER,57.0,0,8,robust
2019,HAAS,28.0,0,9,robust
2020,ALPINE,181.0,0,5,robust
2020,RB,107.0,1,7,robust
2020,SAUBER,8.0,0,8,robust
2020,HAAS,3.0,0,9,robust
2021,ALPINE,155.0,1,5,robust
2021,RB,142.0,0,6,robust
2021,SAUBER,13.0,0,9,robust
2021,HAAS,0.0,0,10,robust
2022,ALPINE,173.0,0,4,robust
2022,SAUBER,55.0,0,6,robust
2022,HAAS,37.0,0,8,robust
2022,RB,35.0,0,9,robust
2023,ALPINE,120.0,0,6,robust
2023,RB,25.0,0,8,robust
2023,SAUBER,16.0,0,9,robust
2023,HAAS,12.0,0,10,robust
2024,ALPINE,65.0,0,6,robust
2024,HAAS,58.0,0,7,robust
2024,RB,46.0,0,8,robust
2024,SAUBER,4.0,0,10,robust
