constructorId,constructorName,position,cumulative_points,round,season
ferrari,FERRARI,1.0,37.0,1,2017
mercedes,MERCEDES,2.0,33.0,1,2017
red_bull,RED BULL,3.0,10.0,1,2017
williams,WILLIAMS,4.0,8.0,1,2017
force_india,ASTON MARTIN,5.0,7.0,1,2017
toro_rosso,RB,6.0,6.0,1,2017
renault,ALPINE,7.0,0.0,1,2017
sauber,SAUBER,8.0,0.0,1,2017
mclaren,MCLAREN,9.0,0.0,1,2017
haas,HAAS,,0.0,1,2017
mercedes,MERCEDES,1.0,66.0,2,2017
ferrari,FERRARI,2.0,65.0,2,2017
red_bull,RED BULL,3.0,37.0,2,2017
toro_rosso,RB,4.0,12.0,2,2017
force_india,ASTON MARTIN,5.0,10.0,2,2017
williams,WILLIAMS,6.0,8.0,2,2017
haas,HAAS,7.0,4.0,2,2017
renault,ALPINE,8.0,0.0,2,2017
sauber,SAUBER,9.0,0.0,2,2017
mclaren,MCLAREN,10.0,0.0,2,2017
ferrari,FERRARI,1.0,102.0,3,2017
mercedes,MERCEDES,2.0,99.0,3,2017
red_bull,RED BULL,3.0,47.0,3,2017
force_india,ASTON MARTIN,4.0,17.0,3,2017
williams,WILLIAMS,5.0,16.0,3,2017
toro_rosso,RB,6.0,12.0,3,2017
haas,HAAS,7.0,8.0,3,2017
renault,ALPINE,8.0,2.0,3,2017
sauber,SAUBER,9.0,0.0,3,2017
mclaren,MCLAREN,10.0,0.0,3,2017
mercedes,MERCEDES,1.0,136.0,4,2017
ferrari,FERRARI,2.0,135.0,4,2017
red_bull,RED BULL,3.0,57.0,4,2017
force_india,ASTON MARTIN,4.0,31.0,4,2017
williams,WILLIAMS,5.0,18.0,4,2017
toro_rosso,RB,6.0,13.0,4,2017
haas,HAAS,7.0,8.0,4,2017
renault,ALPINE,8.0,6.0,4,2017
sauber,SAUBER,9.0,0.0,4,2017
mclaren,MCLAREN,10.0,0.0,4,2017
mercedes,MERCEDES,1.0,161.0,5,2017
ferrari,FERRARI,2.0,153.0,5,2017
red_bull,RED BULL,3.0,72.0,5,2017
force_india,ASTON MARTIN,4.0,53.0,5,2017
toro_rosso,RB,5.0,21.0,5,2017
williams,WILLIAMS,6.0,18.0,5,2017
renault,ALPINE,7.0,14.0,5,2017
haas,HAAS,8.0,9.0,5,2017
sauber,SAUBER,9.0,4.0,5,2017
mclaren,MCLAREN,10.0,0.0,5,2017
ferrari,FERRARI,1.0,196.0,6,2017
mercedes,MERCEDES,2.0,179.0,6,2017
red_bull,RED BULL,3.0,97.0,6,2017
force_india,ASTON MARTIN,4.0,53.0,6,2017
toro_rosso,RB,5.0,29.0,6,2017
williams,WILLIAMS,6.0,20.0,6,2017
renault,ALPINE,7.0,14.0,6,2017
haas,HAAS,8.0,14.0,6,2017
sauber,SAUBER,9.0,4.0,6,2017
mclaren,MCLAREN,10.0,0.0,6,2017
mercedes,MERCEDES,1.0,222.0,7,2017
ferrari,FERRARI,2.0,214.0,7,2017
red_bull,RED BULL,3.0,112.0,7,2017
force_india,ASTON MARTIN,4.0,71.0,7,2017
toro_rosso,RB,5.0,29.0,7,2017
williams,WILLIAMS,6.0,22.0,7,2017
renault,ALPINE,7.0,18.0,7,2017
haas,HAAS,8.0,15.0,7,2017
sauber,SAUBER,9.0,4.0,7,2017
mclaren,MCLAREN,10.0,0.0,7,2017
mercedes,MERCEDES,1.0,250.0,8,2017
ferrari,FERRARI,2.0,226.0,8,2017
red_bull,RED BULL,3.0,137.0,8,2017
force_india,ASTON MARTIN,4.0,79.0,8,2017
williams,WILLIAMS,5.0,37.0,8,2017
